motor/temperature,motor/rpm,motor/current,motor/vibration/rmsX,motor/vibration/rmsY,motor/vibration/rmsZ,motor/vibration/crestX,motor/vibration/crestY,motor/vibration/crestZ
24.82,580,3.64,0.0068,0.0093,1.0255,1.4385,1.6608,1.0358

24.82,580,3.64,0.0068,0.0094,1.0255,1.4385,1.6608,1.0358

24.82,580,3.64,0.0068,0.0094,1.0247,1.4385,1.6608,1.0358

24.82,580,3.64,0.0068,0.0094,1.0247,1.485,1.6608,1.0358

24.82,580,3.64,0.0068,0.0094,1.0247,1.485,1.6411,1.0358

24.82,580,3.64,0.0068,0.0094,1.0247,1.485,1.6411,1.0355

24.82,620,3.64,0.0068,0.0094,1.0247,1.485,1.6411,1.0355

24.82,620,3.64,0.0068,0.0094,1.0247,1.485,1.6411,1.0355

24.82,620,3.67,0.0068,0.0094,1.0247,1.485,1.6411,1.0355

24.82,620,3.67,0.0069,0.0094,1.0247,1.485,1.6411,1.0355

24.82,620,3.67,0.0069,0.0093,1.0247,1.485,1.6411,1.0355

24.82,620,3.67,0.0069,0.0093,1.0257,1.485,1.6411,1.0355

24.82,620,3.67,0.0069,0.0093,1.0257,1.4935,1.6411,1.0355

24.82,620,3.67,0.0069,0.0093,1.0257,1.4935,1.6352,1.0355

24.82,620,3.67,0.0069,0.0093,1.0257,1.4935,1.6352,1.0349

24.82,620,3.67,0.0069,0.0093,1.0257,1.4935,1.6352,1.0349

24.83,620,3.67,0.0069,0.0093,1.0257,1.4935,1.6352,1.0349

24.83,620,3.67,0.0069,0.0093,1.0257,1.4935,1.6352,1.0349

24.83,620,3.67,0.0068,0.0093,1.0257,1.4935,1.6352,1.0349

24.83,620,3.67,0.0068,0.0093,1.0257,1.4935,1.6352,1.0349

24.83,620,3.67,0.0068,0.0093,1.0251,1.4935,1.6352,1.0349

24.83,620,3.67,0.0068,0.0093,1.0251,1.4985,1.6352,1.0349

24.83,620,3.67,0.0068,0.0093,1.0251,1.4985,1.6747,1.0349

24.83,620,3.67,0.0068,0.0093,1.0251,1.4985,1.6747,1.0362

24.83,620,3.67,0.0068,0.0093,1.0251,1.4985,1.6747,1.0362

24.84,620,3.67,0.0068,0.0093,1.0251,1.4985,1.6747,1.0362

24.84,620,3.66,0.0068,0.0093,1.0251,1.4985,1.6747,1.0362

24.84,620,3.66,0.0069,0.0093,1.0251,1.4985,1.6747,1.0362

24.84,620,3.66,0.0069,0.0093,1.0251,1.4985,1.6747,1.0362

24.84,620,3.66,0.0069,0.0093,1.0253,1.4985,1.6747,1.0362

24.84,620,3.66,0.0069,0.0093,1.0253,1.49,1.6747,1.0362

24.84,620,3.66,0.0069,0.0093,1.0253,1.49,1.5939,1.0362

24.84,620,3.66,0.0069,0.0093,1.0253,1.49,1.5939,1.036

24.84,600,3.66,0.0069,0.0093,1.0253,1.49,1.5939,1.036

24.85,600,3.66,0.0069,0.0093,1.0253,1.49,1.5939,1.036

24.85,600,3.64,0.0069,0.0093,1.0253,1.49,1.5939,1.036

24.85,600,3.64,0.0069,0.0093,1.0253,1.49,1.5939,1.036

24.85,600,3.64,0.0069,0.0093,1.0253,1.49,1.5939,1.036

24.85,600,3.64,0.0069,0.0093,1.0247,1.49,1.5939,1.036

24.85,600,3.64,0.0069,0.0093,1.0247,1.4868,1.5939,1.036

24.85,600,3.64,0.0069,0.0093,1.0247,1.4868,1.6025,1.036

24.85,600,3.64,0.0069,0.0093,1.0247,1.4868,1.6025,1.0355

24.85,600,3.64,0.0069,0.0093,1.0247,1.4868,1.6025,1.0355

24.85,600,3.64,0.0069,0.0093,1.0247,1.4868,1.6025,1.0355

24.85,600,3.64,0.0069,0.0093,1.0247,1.4868,1.6025,1.0355

24.85,600,3.64,0.0069,0.0093,1.0247,1.4868,1.6025,1.0355

24.85,600,3.64,0.0069,0.0093,1.0247,1.4868,1.6025,1.0355

24.85,600,3.64,0.0069,0.0093,1.0248,1.4868,1.6025,1.0355

24.85,600,3.64,0.0069,0.0093,1.0248,1.4711,1.6025,1.0355

24.85,600,3.64,0.0069,0.0093,1.0248,1.4711,1.6619,1.0355

24.85,600,3.64,0.0069,0.0093,1.0248,1.4711,1.6619,1.0345

24.85,600,3.64,0.0069,0.0093,1.0248,1.4711,1.6619,1.0345

24.86,600,3.64,0.0069,0.0093,1.0248,1.4711,1.6619,1.0345

24.86,600,3.66,0.0069,0.0093,1.0248,1.4711,1.6619,1.0345

24.86,600,3.66,0.0069,0.0093,1.0248,1.4711,1.6619,1.0345

24.86,600,3.66,0.0069,0.0093,1.0248,1.4711,1.6619,1.0345

24.86,600,3.66,0.0069,0.0093,1.0241,1.4711,1.6619,1.0345

24.86,600,3.66,0.0069,0.0093,1.0241,1.4512,1.6619,1.0345

